CUST_ID,CUST_CODE,AGE,GENDER,YRS_W_CLUB,IS_MEMBER,IS_HRS_OWNER,MAJOR_CHANNEL,MTG_NUM,INV,INV_SEG1,INV_SEG2,INV_SEG3,DIV,RR,END_BAL,RECHARGE_TIMES,WITHDRAW_AMOUNT
5059,95,72,M,4,0,0,ESC,82,19950,9180,5400,5370,11901.93,0.597590476,85.5,17,2300
5067,75,72,M,12,0,0,TEL,80,66760,24450,23890,18420,33734.26,0.509500599,501.2,114,600
5097,95,80,M,31,0,0,ESC,82,54654,17470,19904,17280,39199.27,0.727774179,1759.6,35,1000
5107,75,64,M,6,0,0,ESC,81,79420,32040,22990,24390,45259.12,0.570877865,3.1,124,31420
5109,75,46,M,14,0,0,IOSBS,71,444284,145864,130264,168156,305599.27,0.69324862,5086,70,54000
5125,75,47,M,18,0,0,EWIN,76,137795,32295,60825,44675,101867.85,0.742028738,257.8,164,112000
5137,75,53,F,16,0,0,AOSBS,82,62237,18470,23507,20260,39702.3,0.640990086,32.1,222,27800
5154,84,43,M,9,0,0,AOSBS,66,30370,10560,10650,9160,16737.5,0.557046427,127.5,84,27080
5170,26,40,F,7,0,0,EWIN,70,14290,7020,5180,2090,11586,0.816375087,403.5,5,500
5189,84,43,M,5,0,0,AOSBS,60,46750,7435,14750,24565,36236.7,0.779073797,146.4,84,13700
5208,85,21,M,1,0,0,AOSBS,76,33780,14130,13150,6500,21205.77,0.631905565,0.5,88,6900
5222,95,56,M,10,0,0,AOSBS,69,29524,9520,8040,11964,17300.97,0.591416136,9.8,72,13870
5229,70,46,M,1,0,0,TEL,65,38660,7000,11150,20510,23935.55,0.623436368,18.8,142,9800
5237,95,50,F,10,0,0,IOSBS,31,15278,10,9098,6180,6090.5,0.418935725,311.2,0,0
5242,95,55,M,32,0,0,TEL,76,53190,21630,17770,13790,32318.41,0.608167137,175.7,80,15700
5249,75,66,M,1,0,0,TEL,6,38300,10,38300,10,27700,0.723237598,3220,0,0
5257,84,26,M,6,0,0,AOSBS,47,14391,1450,6691,6250,6313,0.442846223,0,33,1500
5266,75,45,M,15,0,0,TEL,55,43617,8399,15188,20030,40263.3,0.931189674,4.9,63,19700
5268,84,33,M,10,0,0,IOSBS,78,29623,9298,11060,9265,16377,0.556695811,27.7,109,14900
5287,84,39,M,14,0,0,IOSBS,83,81385,22350,29575,29460,49733.66,0.616544695,69.5,243,26440
5306,75,45,M,23,0,0,EWIN,82,343300,99805,121230,122265,154829.1,0.454136237,4.8,132,22700
5408,95,58,M,34,0,0,AOSBS,77,23930,8950,6870,8110,16757.32,0.702771417,105.2,64,10100
5427,90,48,F,2,0,0,EWIN,40,44691,28921,14050,1720,41750.19,0.942170012,8.5,32,3200
5429,85,25,M,3,0,0,EWIN,79,77996,24556,21430,32010,37374.15,0.483411329,0.1,196,34400
5471,95,73,M,34,0,0,OTHERS,83,48020,17990,16480,13550,38916.5,0.813546439,317,66,14500
5502,70,32,M,12,0,0,IOSBS,64,52688,16080,21138,15470,28616.65,0.545791262,6.2,56,46200
5553,95,59,M,1,0,0,IOSBS,34,20010,10,15160,4850,17598.02,0.889956022,255,7,2000
5565,85,28,M,5,0,0,AOSBS,32,11590,2650,6610,2330,10268.5,0.885979292,0,51,28987.7
5732,84,32,M,8,0,0,AOSBS,68,58446,14100,29346,15000,47832,0.821818431,4.9,164,37724
5747,95,58,M,23,0,0,TEL,71,38730,14530,12210,11990,18462.98,0.482648593,198,0,0
5760,95,48,M,24,0,0,OTHERS,54,14660,7960,5520,1180,8423.93,0.577348568,4.5,19,1000
5783,35,51,M,21,0,0,TEL,81,295390,100180,53150,142060,248002.1,0.843671417,950.5,46,39200
5831,95,56,M,28,0,0,MULTI,58,38515,7090,13065,18360,28088.08,0.740466831,5972.3,39,6000
5840,95,55,F,5,0,0,AOSBS,81,18320,7150,6220,4950,10675.55,0.586001638,163.9,0,0
5854,95,45,F,9,0,0,TEL,65,12960,4860,3360,4740,6576.2,0.508966049,413,0,0
5865,86,37,M,8,0,0,TEL,36,220180,14300,130070,75810,216574.5,0.988620674,77,28,58000
5877,90,54,M,4,0,0,TEL,7,13940,10,10,13940,6620,0.480631277,1.5,5,900
5878,85,30,M,10,0,0,AOSBS,31,27750,21090,5020,1640,16587,0.59772973,0,41,4400
5897,95,47,M,8,0,0,ESC,65,26480,7110,7790,11580,8892.9,0.337345166,5.9,172,1900
5902,95,64,M,2,0,0,TEL,82,56210,18350,17900,19960,22410.8,0.411595801,148.5,68,3000
5931,95,65,M,27,0,0,AOSBS,83,94030,17470,33410,43150,84566,0.907859194,69.8,54,23300
5940,95,52,M,26,0,0,TEL,61,22270,5570,9720,6980,19489.5,0.881881455,56.8,44,11600
5995,84,42,M,19,0,0,TEL,53,34992,3615,12221,19156,25417.36,0.728805441,2258,291,39904.2
6021,84,31,M,11,0,0,AOSBS,49,13780,4440,3530,5810,8605.2,0.631727141,109,62,2200
6031,25,64,M,33,0,0,TEL,75,1923895,1066266,357287,500342,1163832.95,0.60767191,84.4,104,2.00E+05
6097,55,57,M,6,0,0,TEL,81,172131,76720,55561,39850,139424.52,0.814347909,1692.8,156,48470
6130,75,51,M,21,0,0,TEL,83,61210,22090,19030,20090,48124.85,0.792270054,186.2,142,38400
6134,35,48,M,26,0,0,EWIN,59,51190,47190,1640,2360,7466.5,0.147851143,0,253,476419.1
6187,61,76,M,38,1,1,TEL,35,158270,51850,59240,47180,148857.75,0.940530423,45184.7,0,0
6259,84,40,M,17,0,0,TEL,65,26730,12860,8330,5540,13384.79,0.501862701,504.4,0,0
6266,90,58,M,3,0,0,TEL,77,17030,6760,5160,5110,20939.1,1.230716383,169,0,0
6276,75,61,M,25,0,0,TEL,71,56252,16652,30924,8676,29356.51,0.52432038,14.6,218,25100
6318,95,54,M,18,0,0,TEL,77,11470,4870,2730,3870,7207.5,0.630993897,303.5,0,0
6319,95,52,M,17,0,0,AOSBS,71,17700,6410,4970,6320,10379.55,0.594324859,290.5,0,0
6342,84,31,M,12,0,0,AOSBS,73,16042,4532,4995,6515,11369,0.712442339,9.4,170,53200
6399,75,53,M,10,0,0,IOSBS,49,199200,64230,54450,80520,149178.5,0.750143072,6,78,32880
6403,95,65,F,30,0,0,TEL,75,34180,13120,10060,11000,30091.49,0.880382972,341.8,51,4000
6448,90,49,M,3,0,0,IOSBS,77,49265,19115,17655,12495,32478.52,0.662509287,1864.8,30,2000
6449,84,32,M,8,0,0,EWIN,75,113914,28764,61230,23920,84646.12,0.745805257,1.7,246,50900
6479,95,50,M,16,0,0,AOSBS,82,56820,20370,19740,16710,31894,0.568532207,209.4,0,0
6481,75,64,M,33,0,0,ESC,60,183250,75940,20990,86320,149230,0.822264666,42203,0,0
6486,95,56,M,31,0,0,TEL,62,11810,1590,5160,5060,9049.98,0.771378493,2.6,0,0
6519,95,59,M,9,0,0,EWIN,80,40060,12990,11600,15470,38976.5,0.975948577,6,58,13500
6538,55,26,M,3,0,0,AOSBS,63,99447,10292,16059,73096,95013,0.958027894,383.3,176,103342
6539,95,63,F,32,0,0,TEL,42,13628,3648,6068,3912,7647.79,0.561182125,29.2,0,0
6584,95,69,M,16,0,0,TEL,70,39155,5520,13700,19935,35957.95,0.920392032,18.2,156,23430
6615,85,22,M,3,0,0,AOSBS,33,16230,400,1860,13970,12997.13,0.803273567,304.8,19,5701
6617,75,44,M,15,0,0,TEL,51,99480,41880,32240,25360,70625,0.713962606,5,67,44877
6664,84,38,M,6,0,0,AOSBS,80,35090,13082,9088,12920,20386.35,0.597601881,389,63,3000
6690,95,52,M,18,0,0,AOSBS,78,51050,14550,20950,15550,44110.02,0.866405877,568.3,0,0
6757,95,55,M,19,0,0,ESC,82,26710,11610,8430,6670,17486.8,0.656188693,10200,185,47279.6
6801,95,55,M,33,0,0,TEL,56,17802,7554,7410,2838,12678.27,0.714429278,209,50,14000
6834,62,57,M,27,1,0,TEL,35,37128,8705,12601,15822,23069.55,0.64087966,9.6,24,4700
6877,95,66,M,14,0,0,ESC,37,17950,10280,3860,3810,9644.6,0.539532033,8.6,182,10100
6888,55,41,M,18,0,0,EWIN,81,235689,92351,85134,58204,170842.88,0.728859599,3.3,210,132717
6918,95,55,M,8,0,0,TEL,83,21550,5400,9130,7020,16459.73,0.772145244,45.9,120,6500
6936,75,64,M,37,0,0,OTHERS,75,249354,89226,73656,86472,147841.45,0.596707693,4402.6,0,0
6967,95,44,M,16,0,0,MULTI,79,18083,3690,8218,6175,8810.23,0.496279931,162.7,76,2700
7063,75,70,F,14,0,0,ESC,61,112111,33126,42805,36180,57961.36,0.518159324,1542,84,6000
7072,84,41,M,21,0,0,AOSBS,83,79497,28325,31482,19690,44201.33,0.562525378,11.9,535,138910
7088,84,42,M,15,0,0,EWIN,79,24490,6350,9060,9080,18877.87,0.783906492,1011.8,33,4200
7115,75,75,M,16,0,0,ESC,81,136362,39520,45680,51162,71054.46,0.529799064,18.9,237,31100
7166,55,46,M,24,0,0,EWIN,44,26580,3810,6070,16700,11556,0.435891648,3751.3,178,191200
7172,95,48,M,16,0,0,AOSBS,82,25061,9430,7101,8530,20375.99,0.814891265,161.7,52,15018
7181,95,51,M,29,0,0,TEL,43,19460,4350,14640,470,13360.1,0.686541624,2.3,84,10080
7187,95,53,M,28,0,0,TEL,71,23448,6460,13388,3600,16420.78,0.707129819,15.4,42,500
7206,95,56,M,32,0,0,OTHERS,82,25738,6968,11450,7320,17697,0.697295827,2005.6,418,83705
7231,75,49,M,24,0,0,AOSBS,83,371984,139230,89860,142894,292095,0.786713945,1890,142,157026
7261,95,52,M,11,0,0,TEL,60,59690,18080,30820,10790,29651.5,0.503459541,57,0,0
7322,35,40,M,16,0,0,TEL,73,309420,127130,41700,140590,272323,0.880107944,0,57,167577.8
7324,95,63,M,29,0,0,EWIN,68,58019,36014,15238,6767,39362.3,0.682505731,1007.1,21,7700
7379,95,60,M,33,0,0,TEL,58,10770,2160,5000,3610,8346.81,0.790790158,208.2,131,45100
7415,75,44,M,22,0,0,AOSBS,62,61775,16960,13000,31815,37589.75,0.615779037,3006.6,0,0
7429,85,34,M,5,0,0,AOSBS,44,39060,10520,24540,4000,35073.5,0.897939068,0.8,50,19397
7442,95,61,M,21,0,0,EWIN,78,32010,5920,14070,12020,23785.74,0.745571384,112.3,272,79100
7469,95,67,M,1,0,0,TEL,37,26530,5610,18220,2700,17127.63,0.647102525,18,23,7600
7483,84,35,M,14,0,0,AOSBS,56,62611,34924,18595,9092,46130.67,0.742148664,7.8,84,49608
7490,86,45,M,7,0,0,TEL,55,33570,13100,7550,12920,14123.93,0.427879952,13.4,44,2000
7550,95,64,M,5,0,0,TEL,79,35800,11940,12620,11240,38036.9,1.065555866,63.9,176,33700
7596,95,58,M,9,0,0,EWIN,63,26125,5960,8830,11335,23357,0.917779904,4753.9,0,0
7610,95,49,M,31,0,0,EWIN,35,10868,1670,4660,4538,26921.78,2.497035333,0.8,23,25000
7612,75,54,M,30,0,0,OTHERS,82,116250,44670,41230,30350,42043.12,0.366048344,771.3,169,7500
7630,55,49,M,30,0,0,TEL,49,158123,110853,9915,37355,97001.7,0.619022533,1.4,174,65682
7681,75,82,M,33,0,0,EWIN,83,124050,41150,43670,39230,110513.68,0.892169931,3850.4,14,5000
7776,85,41,F,6,0,0,TEL,30,21490,5660,12910,2920,13617.05,0.636903211,17.5,37,3800
7783,55,54,M,24,0,0,OTHERS,81,150196,28060,58304,63832,107996.5,0.723098485,4337.8,784,744100
