CUST_ID,AGE,GENDER,YRS_W_CLUB,IS_MEMBER,IS_HRS_OWNER,MAJOR_CHANNEL,MTG_NUM,INV,INV_SEG1,INV_SEG2,INV_SEG3,DIV,RR,END_BAL,RECHARGE_TIMES,WITHDRAW_AMOUNT
762,72,M,18,0,0,OTHERS,82,55080,15205,21515,18360,38194.2,0.695972,828.5,0,0
776,46,M,24,0,0,TEL,83,19460,6200,6260,7000,12521.7,0.646542,38.8,0,0
813,59,M,13,0,0,TEL,80,38440,13215,16705,8520,21791,0.580256,223,64,6000
867,41,M,18,0,0,AOSBS,82,270900,89970,91150,89780,175955,0.656422,1007.9,401,184156
885,57,M,12,0,0,TEL,70,20390,6980,6430,6980,13296.8,0.654088,614,64,3650
889,42,M,18,0,0,AOSBS,56,38492,21242,14180,3070,24554.4,0.638948,2.2,31,3000
896,20,M,2,0,0,IOSBS,63,24300,4900,12310,7090,19629.2,0.811489,163.4,101,14624
919,52,F,13,0,0,AOSBS,72,31795,10325,9170,12300,20179.3,0.639701,1010.1,0,0
923,76,M,31,0,0,TEL,83,46882,16011,16653,14218,32670,0.706562,106.5,96,7700
960,43,M,20,0,0,TEL,36,37380,13515,8530,15335,26694.3,0.723229,0.4,28,10000
1009,53,M,27,0,0,TEL,56,36900,11740,10340,14820,35243,0.969729,5718.1,0,0
1012,65,M,15,0,0,ESC,80,23750,7650,8310,7790,39107.6,1.65792,2864,41,23000
1090,62,F,3,0,0,TEL,83,51030,14070,18200,18760,46046.3,0.907041,1383.5,0,0
1097,33,M,8,0,0,AOSBS,70,34437,9582,14685,10170,16352.6,0.47805,225.8,407,17997.4
1127,59,M,11,0,0,TEL,67,86075,28285,36530,21260,64290.1,0.750567,867.5,62,25500
1141,40,M,10,0,0,EWIN,58,24714,14934,8090,1690,20819.2,0.843618,1096.8,76,10819
1149,58,M,6,0,0,TEL,82,81450,25190,19910,36350,76698,0.942272,27,51,26300
1199,42,M,15,0,0,IOSBS,68,45070,12480,14640,17950,26339.9,0.588637,136.9,47,12700
1293,25,M,7,0,0,EWIN,80,27977,10182,7460,10335,19626.9,0.707329,294.3,0,0
1346,40,M,19,0,0,AOSBS,48,13945,1590,4440,7915,5474.48,0.394011,46,0,0
1358,58,M,4,0,0,TEL,42,10420,1150,1960,7310,8697.5,0.834693,39.5,0,0
1363,76,M,34,0,0,ESC,83,24420,8750,8110,7560,11163.5,0.460833,14.8,97,3500
1386,59,M,12,0,0,AOSBS,80,42420,10870,16720,14830,36821.4,0.872499,120.5,18,5845
1389,32,M,8,0,0,TEL,13,11948,6400,2200,3348,2125.29,0.177878,61,0,0
1400,62,M,1,0,0,TEL,45,22970,4730,11270,6970,11404.5,0.506073,10,50,11000
1422,51,M,8,0,0,TEL,43,16010,1950,3810,10250,8814,0.553029,23.5,28,800
1472,54,M,29,0,0,AOSBS,77,117580,31640,34050,51890,91779.1,0.78482,7.1,264,70390
1487,46,M,20,0,0,ESC,75,19645,4720,7965,6960,12185.4,0.620278,120,404,13286.9
1490,43,M,17,0,0,EWIN,51,452887,265082,144895,42910,330004,0.728666,1,26,126000
1539,46,M,20,0,0,AOSBS,48,11300,5310,3380,2610,7282,0.646195,434.3,14,4000
1546,62,M,26,0,0,TEL,75,108600,36670,31440,40490,89909,0.832772,3448.8,0,0
1548,38,M,10,0,0,TEL,47,242460,41820,73940,126700,305984,1.27293,5917.7,170,367624
1605,68,M,34,0,0,TEL,80,54600,21900,12140,20560,43916.5,0.807079,90,0,0
1639,64,F,8,0,0,AOSBS,72,18070,2730,7640,7700,22806.4,1.31485,513.7,24,9800
1644,43,M,10,0,0,TEL,62,74922,18870,18030,38022,45226.5,0.605731,418,50,3200
1737,44,M,24,0,0,TEL,51,124825,49360,44295,31170,92660,0.743126,7.7,80,31630
1744,52,M,24,0,0,AOSBS,68,44595,6785,15790,22020,79689.4,1.78853,631.4,18,45000
2048,59,M,8,0,0,TEL,67,45179,17600,15950,11629,29255.2,0.654402,6.8,55,4800
1745,66,M,28,0,0,TEL,82,67190,28070,35060,4060,63325.6,0.948297,6342.1,0,0
1754,56,M,4,0,0,EWIN,67,24800,11010,7450,6340,15940.8,0.648018,146.7,0,0
1819,56,M,31,0,0,AOSBS,79,216683,78320,81580,56783,193236,0.902039,3.5,446,550240
1841,56,M,19,0,0,TEL,80,20884,6680,7200,7004,18490,0.888717,213.5,23,3500
1940,60,M,5,0,0,TEL,77,50880,15760,10800,24320,52696.3,1.03688,1467,24,10000
1995,50,M,27,0,0,TEL,66,82578,45678,16790,20110,60033.5,0.728566,951.1,40,18100
2043,65,M,14,0,0,TEL,83,40680,10830,14130,15720,19823,0.492453,976,91,1400
2053,38,M,15,0,0,TEL,72,27600,8790,11860,6950,33203.6,1.20412,8.1,33,20000
2089,54,M,24,0,0,OTHERS,83,251026,133961,72077,44988,176489,0.708335,2213.3,92,85200
2146,49,M,10,0,0,TEL,24,128010,63510,34020,30480,79629,0.622053,7855.8,157,274271
2242,63,M,29,0,0,TEL,46,41550,8909,17035,15606,29006,0.700024,17.7,0,0
2290,58,M,32,0,0,IOSBS,58,110712,22025,60152,28535,87711.2,0.794744,1688,120,61593
2293,57,M,10,0,0,AOSBS,61,26370,9360,5110,11900,22042.5,0.839306,380.8,27,6300
2312,27,M,8,0,0,EWIN,81,36290,10250,11680,14360,23765.2,0.657348,201.7,94,18320
2314,43,M,20,0,0,EWIN,81,50358,17490,18178,14690,44777.5,0.890574,325.4,191,43407
2370,38,M,12,0,0,AOSBS,38,52620,12380,21040,19200,38767.5,0.740545,0.9,282,248513
2379,64,M,38,0,0,AOSBS,83,28040,7050,10410,10580,20329.5,0.736431,349.6,44,5400
2426,59,M,15,0,0,EWIN,83,54731,20173,16180,18378,36412.9,0.666037,54.6,82,2000
2481,26,M,5,0,0,AOSBS,40,11980,2970,6240,2770,9465.28,0.79009,9.1,45,7400
2507,35,F,9,0,0,AOSBS,43,11012,3332,4480,3200,4773.5,0.433482,9.2,25,500
2614,51,M,14,0,0,ESC,78,20370,8850,6280,5240,7274.42,0.367424,3.1,193,9050
2620,41,M,19,0,0,MULTI,76,119510,32940,61170,25400,73009.4,0.613584,681.3,120,36000
2627,53,M,19,0,0,TEL,68,17115,5265,6700,5150,12155,0.716039,668,0,0
2660,46,M,19,0,0,TEL,81,24780,8820,8310,7650,10685.7,0.434755,100,67,1800
2702,57,M,32,0,0,TEL,67,14160,5650,3560,4950,12474.7,0.88169,0.9,183,7011.5
2714,39,M,16,0,0,OTHERS,64,63137,20636,24484,18017,44617.3,0.710007,11,146,22860
2727,37,M,17,0,0,EWIN,78,227760,43160,74650,109950,140737,0.626439,888.4,86,7333.3
2780,52,M,25,0,0,IOSBS,80,90156,15140,25590,49426,68444.6,0.759845,3387,52,32500
2790,42,M,21,0,0,TEL,79,99701,12488,49240,37973,120826,1.2163,209.6,80,156000
2822,43,F,9,0,0,EWIN,55,20880,8970,5600,6310,13989,0.676197,9,41,29200
2908,39,M,14,0,0,AOSBS,73,14490,4340,5020,5130,9670.36,0.671522,105.4,79,8340
3100,66,F,28,0,0,ESC,83,87960,24880,31810,31270,61219.7,0.701225,1208.1,181,15300
3145,45,M,19,0,0,IOSBS,82,219945,68111,80577,71257,159059,0.729598,5200.3,75,46000
3156,59,M,7,0,0,TEL,61,18890,3700,9270,5920,10258.5,0.555771,167.9,72,4100
3172,60,M,23,0,0,TEL,56,148032,47930,44000,56102,38282,0.266983,7.5,0,0
3198,41,F,16,0,0,EWIN,55,1369340,10660,1013450,345236,1193980,0.877265,7.1,136,627530
3204,63,M,10,0,0,TEL,33,10770,10,4160,6610,7602.5,0.723538,7.7,39,1600
5067,72,M,12,0,0,TEL,80,66760,24450,23890,18420,33734.3,0.509501,501.2,114,600
3234,71,M,3,0,0,TEL,68,54508,27352,19222,7934,37353,0.685826,1652.5,0,0
3239,38,M,18,0,0,AOSBS,72,77970,35180,23430,19360,51152,0.660151,6.1,166,20980
3280,58,M,31,0,0,TEL,79,313212,52840,135700,124672,191217,0.612866,4,133,45300
3283,76,M,27,1,0,TEL,72,1847250,653250,639600,554400,1550280,0.839776,0,0,0
3375,60,M,23,0,0,AOSBS,83,92594,34800,35054,22740,59412.3,0.643819,109.2,210,23850
3410,44,M,10,0,0,AOSBS,82,46685,19254,18114,9317,23229.8,0.510567,0.7,153,15402.4
3491,59,M,6,0,0,TEL,83,124200,42300,41650,40250,106630,0.858535,20334.5,13,12000
3562,67,M,14,0,0,ESC,79,34260,17360,8650,8250,32466.7,0.952327,245.6,230,19800
5018,43,M,22,0,0,EWIN,57,71289,41299,17128,12862,39724.3,0.565111,52.1,133,13143
3624,57,M,29,0,0,AOSBS,73,46242,14700,20992,10550,35814,0.777086,2.1,116,24347.5
3633,53,F,9,0,0,IOSBS,83,104920,37790,36460,30670,85654.5,0.824385,2767.5,225,101902
3648,72,M,13,0,0,ESC,78,13280,4440,4600,4240,10035,0.75866,241,74,3500
3707,39,F,4,0,0,EWIN,81,126010,42870,38070,45070,80922.3,0.644649,373.9,99,45500
3717,56,F,15,0,0,ESC,83,40012,11862,14140,14010,32241.4,0.811143,16,58,9700
3725,67,M,23,1,0,OTHERS,73,96738,29628,37694,29416,48234.9,0.503679,6.5,70,33092
3732,59,M,27,0,0,EWIN,83,57460,25270,17420,14770,35263.5,0.623103,500,72,8791
3811,39,M,12,0,0,EWIN,81,24882,10452,9280,5150,17312.9,0.708862,13.5,342,34080
3845,54,M,33,0,0,TEL,83,319678,167383,54779,97516,222963,0.700526,14.7,163,76190
3869,48,M,17,0,0,AOSBS,83,39000,13520,12880,12600,24025.8,0.621943,405.5,0,0
3981,39,M,16,0,0,IOSBS,71,61650,13620,15950,32080,50283.5,0.816277,0.3,148,96461
3992,69,M,38,0,0,AOSBS,78,16720,5150,7580,3990,8213,0.493002,420.9,7,4000
4011,55,M,7,0,0,AOSBS,83,139622,49952,53590,36080,79464,0.576105,9.5,0,0
4018,43,M,23,0,0,AOSBS,82,403190,154600,168653,79937,211450,0.525422,0.9,1174,519278
4021,40,M,10,0,0,AOSBS,69,46128,16180,12337,17611,29675.5,0.649725,892.7,171,74060
4054,49,M,29,0,0,AOSBS,73,20425,5545,6600,8280,12259.2,0.603632,209.4,23,34500
4058,49,F,12,0,0,TEL,17,38178,35918,200,2060,20651,0.540914,6,10,55000
4069,48,M,18,0,0,EWIN,79,25045,11989,7933,5123,0,0,2009.7,0,0
4211,53,M,3,0,0,ESC,75,99010,22790,41860,34360,58758.5,0.595581,1,132,16500
4217,41,M,20,0,0,AOSBS,72,213336,68588,81793,62955,119217,0.561871,4.5,126,37600
4227,49,M,5,0,0,TEL,83,74167,18529,28704,26934,48631.4,0.660663,1022,105,4790
4256,59,F,26,0,0,AOSBS,79,200165,55270,73323,71572,367283,1.84154,173573,0,0
4304,42,M,10,0,0,MULTI,78,25560,7190,9700,8670,17443.5,0.688713,123.5,0,0
5042,51,M,12,0,0,IOSBS,34,23190,17650,3110,2430,21049,0.907676,471.9,0,0
4335,31,M,8,0,0,AOSBS,12,14990,10,6540,8450,8519,0.568312,8,17,1000
4411,58,M,30,0,0,ESC,79,24950,6550,7180,11220,12410.6,0.504634,20.6,229,1900
4417,38,M,3,0,0,AOSBS,73,12490,3550,4330,4610,6523.75,0.530324,720,41,2000
4450,48,M,16,0,0,TEL,63,45510,9710,11400,24400,32365.2,0.720319,19.4,51,7000
4536,64,M,31,0,0,OTHERS,82,32960,9450,10850,12660,21969,0.67412,525.2,33,2500
4543,65,F,26,0,0,OTHERS,80,27620,9290,8720,9610,24109,0.874692,313.1,0,0
4556,48,M,9,0,0,ESC,77,20850,5260,7870,7720,14639.9,0.70791,1.6,274,23150
4598,63,M,13,0,0,IOSBS,83,190336,75882,57430,57024,117849,0.620496,404.5,256,23500
5048,44,M,24,0,0,IOSBS,55,23909,1650,9780,12479,8438,0.363587,382.2,27,1500
4670,22,M,3,0,0,IOSBS,27,48490,5520,10,42970,44188.5,0.911291,26.8,116,54842
4682,26,M,2,0,0,AOSBS,61,29488,17790,6152,5546,24959.9,0.851191,0.4,137,10329
4753,54,M,8,0,0,AOSBS,83,108850,44690,37040,27120,81778.1,0.753313,159.2,67,6000
4754,53,M,20,0,0,AOSBS,81,50808,13352,16040,21416,19616.2,0.392384,575.7,0,0
4813,83,M,31,0,0,TEL,79,116629,51499,34727,30403,46204.9,0.401571,1361.1,85,3000
4889,87,M,27,0,0,TEL,49,14170,1110,5860,7200,10607.1,0.75562,830.5,0,0
5003,61,M,11,0,0,ESC,65,50560,15650,15660,19250,39818.7,0.791707,3.5,31,25880
5059,72,M,4,0,0,ESC,82,19950,9180,5400,5370,11901.9,0.59759,85.5,17,2300
5097,80,M,31,0,0,ESC,82,54654,17470,19904,17280,39199.3,0.727774,1759.6,35,1000
5107,64,M,6,0,0,ESC,81,79420,32040,22990,24390,45259.1,0.570878,3.1,124,31420
5109,46,M,14,0,0,IOSBS,71,444284,145864,130264,168156,305599,0.693249,5086,70,54000
5125,47,M,18,0,0,EWIN,76,137795,32295,60825,44675,101868,0.742029,257.8,164,112000
5137,53,F,16,0,0,AOSBS,82,62237,18470,23507,20260,39702.3,0.64099,32.1,222,27800
5154,43,M,9,0,0,AOSBS,66,30370,10560,10650,9160,16737.5,0.557046,127.5,84,27080
5170,40,F,7,0,0,EWIN,70,14290,7020,5180,2090,11586,0.816375,403.5,5,500
5189,43,M,5,0,0,AOSBS,60,46750,7435,14750,24565,36236.7,0.779074,146.4,84,13700
5208,21,M,1,0,0,AOSBS,76,33780,14130,13150,6500,21205.8,0.631906,0.5,88,6900
5222,56,M,10,0,0,AOSBS,69,29524,9520,8040,11964,17301,0.591416,9.8,72,13870
5229,46,M,1,0,0,TEL,65,38660,7000,11150,20510,23935.6,0.623436,18.8,142,9800
5237,50,F,10,0,0,IOSBS,31,15278,10,9098,6180,6090.5,0.418936,311.2,0,0
5242,55,M,32,0,0,TEL,76,53190,21630,17770,13790,32318.4,0.608167,175.7,80,15700
5249,66,M,1,0,0,TEL,6,38300,10,38300,10,27700,0.723238,3220,0,0
5257,26,M,6,0,0,AOSBS,47,14391,1450,6691,6250,6313,0.442846,0,33,1500
5266,45,M,15,0,0,TEL,55,43617,8399,15188,20030,40263.3,0.93119,4.9,63,19700
5268,33,M,10,0,0,IOSBS,78,29623,9298,11060,9265,16377,0.556696,27.7,109,14900
5287,39,M,14,0,0,IOSBS,83,81385,22350,29575,29460,49733.7,0.616545,69.5,243,26440
5306,45,M,23,0,0,EWIN,82,343300,99805,121230,122265,154829,0.454136,4.8,132,22700
5408,58,M,34,0,0,AOSBS,77,23930,8950,6870,8110,16757.3,0.702771,105.2,64,10100
5427,48,F,2,0,0,EWIN,40,44691,28921,14050,1720,41750.2,0.94217,8.5,32,3200
5760,48,M,24,0,0,OTHERS,54,14660,7960,5520,1180,8423.93,0.577349,4.5,19,1000
10986,45,M,6,0,0,IOSBS,83,56051,17648,20368,18035,31923.7,0.579111,1.4,215,16280
5429,25,M,3,0,0,EWIN,79,77996,24556,21430,32010,37374.1,0.483411,0.1,196,34400
5471,73,M,34,0,0,OTHERS,83,48020,17990,16480,13550,38916.5,0.813546,317,66,14500
5502,32,M,12,0,0,IOSBS,64,52688,16080,21138,15470,28616.7,0.545791,6.2,56,46200
5553,59,M,1,0,0,IOSBS,34,20010,10,15160,4850,17598,0.889956,255,7,2000
5565,28,M,5,0,0,AOSBS,32,11590,2650,6610,2330,10268.5,0.885979,0,51,28987.7
5732,32,M,8,0,0,AOSBS,68,58446,14100,29346,15000,47832,0.821818,4.9,164,37724
5747,58,M,23,0,0,TEL,71,38730,14530,12210,11990,18463,0.482649,198,0,0
5783,51,M,21,0,0,TEL,81,295390,100180,53150,142060,248002,0.843671,950.5,46,39200
5831,56,M,28,0,0,MULTI,58,38515,7090,13065,18360,28088.1,0.740467,5972.3,39,6000
5840,55,F,5,0,0,AOSBS,81,18320,7150,6220,4950,10675.5,0.586002,163.9,0,0
5854,45,F,9,0,0,TEL,65,12960,4860,3360,4740,6576.2,0.508966,413,0,0
5865,37,M,8,0,0,TEL,36,220180,14300,130070,75810,216574,0.988621,77,28,58000
5877,54,M,4,0,0,TEL,7,13940,10,10,13940,6620,0.480631,1.5,5,900
6266,58,M,3,0,0,TEL,77,17030,6760,5160,5110,20939.1,1.23072,169,0,0
5878,30,M,10,0,0,AOSBS,31,27750,21090,5020,1640,16587,0.59773,0,41,4400
5897,47,M,8,0,0,ESC,65,26480,7110,7790,11580,8892.9,0.337345,5.9,172,1900
5902,64,M,2,0,0,TEL,82,56210,18350,17900,19960,22410.8,0.411596,148.5,68,3000
5931,65,M,27,0,0,AOSBS,83,94030,17470,33410,43150,84566,0.907859,69.8,54,23300
5940,52,M,26,0,0,TEL,61,22270,5570,9720,6980,19489.5,0.881881,56.8,44,11600
5995,42,M,19,0,0,TEL,53,34992,3615,12221,19156,25417.4,0.728805,2258,291,39904.2
6021,31,M,11,0,0,AOSBS,49,13780,4440,3530,5810,8605.2,0.631727,109,62,2200
7596,58,M,9,0,0,EWIN,63,26125,5960,8830,11335,23357,0.91778,4753.9,0,0
6031,64,M,33,0,0,TEL,75,1923900,1066270,357287,500342,1163830,0.607672,84.4,104,200000
6097,57,M,6,0,0,TEL,81,172131,76720,55561,39850,139425,0.814348,1692.8,156,48470
6130,51,M,21,0,0,TEL,83,61210,22090,19030,20090,48124.9,0.79227,186.2,142,38400
6134,48,M,26,0,0,EWIN,59,51190,47190,1640,2360,7466.5,0.147851,0,253,476419
6187,76,M,38,1,1,TEL,35,158270,51850,59240,47180,148858,0.94053,45184.7,0,0
6259,40,M,17,0,0,TEL,65,26730,12860,8330,5540,13384.8,0.501863,504.4,0,0
6276,61,M,25,0,0,TEL,71,56252,16652,30924,8676,29356.5,0.52432,14.6,218,25100
6318,54,M,18,0,0,TEL,77,11470,4870,2730,3870,7207.5,0.630994,303.5,0,0
6319,52,M,17,0,0,AOSBS,71,17700,6410,4970,6320,10379.5,0.594325,290.5,0,0
6342,31,M,12,0,0,AOSBS,73,16042,4532,4995,6515,11369,0.712442,9.4,170,53200
6399,53,M,10,0,0,IOSBS,49,199200,64230,54450,80520,149178,0.750143,6,78,32880
6403,65,F,30,0,0,TEL,75,34180,13120,10060,11000,30091.5,0.880383,341.8,51,4000
6448,49,M,3,0,0,IOSBS,77,49265,19115,17655,12495,32478.5,0.662509,1864.8,30,2000
8056,60,F,10,0,0,TEL,77,35700,13060,11550,11090,28507.5,0.803571,987,0,0
6449,32,M,8,0,0,EWIN,75,113914,28764,61230,23920,84646.1,0.745805,1.7,246,50900
6479,50,M,16,0,0,AOSBS,82,56820,20370,19740,16710,31894,0.568532,209.4,0,0
6481,64,M,33,0,0,ESC,60,183250,75940,20990,86320,149230,0.822265,42203,0,0
6486,56,M,31,0,0,TEL,62,11810,1590,5160,5060,9049.98,0.771379,2.6,0,0
6519,59,M,9,0,0,EWIN,80,40060,12990,11600,15470,38976.5,0.975949,6,58,13500
6538,26,M,3,0,0,AOSBS,63,99447,10292,16059,73096,95013,0.958028,383.3,176,103342
6539,63,F,32,0,0,TEL,42,13628,3648,6068,3912,7647.79,0.561182,29.2,0,0
6584,69,M,16,0,0,TEL,70,39155,5520,13700,19935,35957.9,0.920392,18.2,156,23430
6615,22,M,3,0,0,AOSBS,33,16230,400,1860,13970,12997.1,0.803274,304.8,19,5701
6617,44,M,15,0,0,TEL,51,99480,41880,32240,25360,70625,0.713963,5,67,44877
6664,38,M,6,0,0,AOSBS,80,35090,13082,9088,12920,20386.3,0.597602,389,63,3000
6690,52,M,18,0,0,AOSBS,78,51050,14550,20950,15550,44110,0.866406,568.3,0,0
6757,55,M,19,0,0,ESC,82,26710,11610,8430,6670,17486.8,0.656189,10200,185,47279.6
6801,55,M,33,0,0,TEL,56,17802,7554,7410,2838,12678.3,0.714429,209,50,14000
6834,57,M,27,1,0,TEL,35,37128,8705,12601,15822,23069.6,0.64088,9.6,24,4700
6877,66,M,14,0,0,ESC,37,17950,10280,3860,3810,9644.6,0.539532,8.6,182,10100
6888,41,M,18,0,0,EWIN,81,235689,92351,85134,58204,170843,0.72886,3.3,210,132717
6918,55,M,8,0,0,TEL,83,21550,5400,9130,7020,16459.7,0.772145,45.9,120,6500
6936,64,M,37,0,0,OTHERS,75,249354,89226,73656,86472,147841,0.596708,4402.6,0,0
6967,44,M,16,0,0,MULTI,79,18083,3690,8218,6175,8810.23,0.49628,162.7,76,2700
7063,70,F,14,0,0,ESC,61,112111,33126,42805,36180,57961.4,0.518159,1542,84,6000
7072,41,M,21,0,0,AOSBS,83,79497,28325,31482,19690,44201.3,0.562525,11.9,535,138910
7088,42,M,15,0,0,EWIN,79,24490,6350,9060,9080,18877.9,0.783907,1011.8,33,4200
7115,75,M,16,0,0,ESC,81,136362,39520,45680,51162,71054.5,0.529799,18.9,237,31100
7166,46,M,24,0,0,EWIN,44,26580,3810,6070,16700,11556,0.435892,3751.3,178,191200
7172,48,M,16,0,0,AOSBS,82,25061,9430,7101,8530,20376,0.814891,161.7,52,15018
7181,51,M,29,0,0,TEL,43,19460,4350,14640,470,13360.1,0.686542,2.3,84,10080
7187,53,M,28,0,0,TEL,71,23448,6460,13388,3600,16420.8,0.70713,15.4,42,500
8688,34,M,8,0,0,AOSBS,75,12128,3578,4550,4000,6812,0.569921,746.3,0,0
7206,56,M,32,0,0,OTHERS,82,25738,6968,11450,7320,17697,0.697296,2005.6,418,83705
7231,49,M,24,0,0,AOSBS,83,371984,139230,89860,142894,292095,0.786714,1890,142,157026
7261,52,M,11,0,0,TEL,60,59690,18080,30820,10790,29651.5,0.50346,57,0,0
7322,40,M,16,0,0,TEL,73,309420,127130,41700,140590,272323,0.880108,0,57,167578
7324,63,M,29,0,0,EWIN,68,58019,36014,15238,6767,39362.3,0.682506,1007.1,21,7700
7379,60,M,33,0,0,TEL,58,10770,2160,5000,3610,8346.81,0.79079,208.2,131,45100
8759,62,M,33,0,0,EWIN,82,28380,10350,9340,8690,13215.2,0.475166,210.1,135,5700
7415,44,M,22,0,0,AOSBS,62,61775,16960,13000,31815,37589.8,0.615779,3006.6,0,0
7429,34,M,5,0,0,AOSBS,44,39060,10520,24540,4000,35073.5,0.897939,0.8,50,19397
7442,61,M,21,0,0,EWIN,78,32010,5920,14070,12020,23785.7,0.745571,112.3,272,79100
7469,67,M,1,0,0,TEL,37,26530,5610,18220,2700,17127.6,0.647103,18,23,7600
7483,35,M,14,0,0,AOSBS,56,62611,34924,18595,9092,46130.7,0.742149,7.8,84,49608
7490,45,M,7,0,0,TEL,55,33570,13100,7550,12920,14123.9,0.42788,13.4,44,2000
7550,64,M,5,0,0,TEL,79,35800,11940,12620,11240,38036.9,1.06556,63.9,176,33700
7610,49,M,31,0,0,EWIN,35,10868,1670,4660,4538,26921.8,2.49704,0.8,23,25000
7612,54,M,30,0,0,OTHERS,82,116250,44670,41230,30350,42043.1,0.366048,771.3,169,7500
7630,49,M,30,0,0,TEL,49,158123,110853,9915,37355,97001.7,0.619023,1.4,174,65682
7681,82,M,33,0,0,EWIN,83,124050,41150,43670,39230,110514,0.89217,3850.4,14,5000
7776,41,F,6,0,0,TEL,30,21490,5660,12910,2920,13617,0.636903,17.5,37,3800
7783,54,M,24,0,0,OTHERS,81,150196,28060,58304,63832,107996,0.723098,4337.8,784,744100
7798,56,M,6,0,0,AOSBS,83,30370,10410,9920,10040,13700.1,0.453741,231,0,0
7810,62,M,34,0,0,EWIN,83,31790,7150,13440,11200,25512,0.808493,211.2,0,0
7834,41,M,8,0,0,AOSBS,83,55975,17360,18600,20015,31963.7,0.575859,505.3,89,13000
7854,51,M,13,0,0,TEL,47,27915,14120,2040,11755,24371,0.8777,317.9,44,2500
7900,51,M,14,0,0,TEL,46,22040,4920,7140,9980,10471.8,0.481479,778.5,0,0
7938,61,M,19,0,0,EWIN,82,50960,16150,18320,16490,40836.5,0.803895,326.9,65,8300
8000,38,M,20,0,0,AOSBS,41,14721,4038,9213,1470,10484,0.729843,1607.7,82,93355.8
8013,51,M,33,0,0,IOSBS,82,20170,6500,7060,6610,11889.2,0.596889,327.8,0,0
8014,70,M,32,0,0,TEL,74,121154,38280,30064,52810,84821.3,0.709669,798.1,64,28000
8065,59,M,23,0,0,AOSBS,70,48755,22725,16240,9790,74678.9,1.54396,954.2,89,46000
8076,52,M,29,0,0,EWIN,79,370137,169530,99116,101491,199196,0.550214,170.9,166,50000
8077,54,M,4,0,0,TEL,76,23840,10750,7670,5420,16299.2,0.686206,810,22,2000
8231,53,M,28,0,0,EWIN,76,39960,11380,14210,14370,38839.7,0.976218,1127.7,28,22580
8236,60,M,31,0,0,EWIN,83,328194,105931,105583,116680,162950,0.501518,1287.1,215,23200
